# Cherries,colless,sackin,total_cophenetic,ladder,width,depth,wid_dep_ratio
7.344632768361581965e-01,3.798701298701298579e-02,9.935246317927881599e-02,2.220100000000000000e+04,2.655367231638418035e-01,1.400000000000000000e+01,5.600000000000000000e+01,4.000000000000000000e+00
6.255924170616113944e-01,3.303713830029619825e-02,8.642968924659065466e-02,3.563200000000000000e+04,3.744075829383886056e-01,1.300000000000000000e+01,7.200000000000000000e+01,5.538461538461538325e+00
5.913978494623656212e-01,4.964747356051704003e-02,1.044853364002300139e-01,3.617900000000000000e+04,4.086021505376344343e-01,1.800000000000000000e+01,4.600000000000000000e+01,2.555555555555555358e+00
7.345132743362832173e-01,6.523809523809523392e-02,1.118128654970760166e-01,1.123280000000000000e+05,2.654867256637168382e-01,2.000000000000000000e+01,4.400000000000000000e+01,2.200000000000000178e+00
6.243902439024390238e-01,4.399690910847097597e-02,9.638154778819740809e-02,3.546400000000000000e+04,3.756097560975609762e-01,1.800000000000000000e+01,5.600000000000000000e+01,3.111111111111111160e+00
6.967741935483870996e-01,4.244121891180714645e-02,1.128298453139217478e-01,1.727800000000000000e+04,3.032258064516129004e-01,1.600000000000000000e+01,5.000000000000000000e+01,3.125000000000000000e+00
6.915887850467289377e-01,4.296217556913809604e-02,9.424447922100503972e-02,5.824900000000000000e+04,3.084112149532710068e-01,1.500000000000000000e+01,6.000000000000000000e+01,4.000000000000000000e+00
6.233766233766233622e-01,5.650154798761609920e-02,1.207474442768560474e-01,2.529900000000000000e+04,3.766233766233766378e-01,1.600000000000000000e+01,4.800000000000000000e+01,3.000000000000000000e+00
6.729857819905212812e-01,3.622693096377306576e-02,8.973843058350100543e-02,3.169100000000000000e+04,3.270142180094786633e-01,1.700000000000000000e+01,5.800000000000000000e+01,3.411764705882352811e+00
6.800000000000000488e-01,5.078904407763468187e-02,1.174496644295301984e-01,1.812100000000000000e+04,3.200000000000000067e-01,1.400000000000000000e+01,5.000000000000000000e+01,3.571428571428571619e+00
6.892655367231638186e-01,4.623376623376623112e-02,1.192864398171660789e-01,5.246300000000000000e+04,3.107344632768361814e-01,1.600000000000000000e+01,5.200000000000000000e+01,3.250000000000000000e+00
6.358974358974358587e-01,4.299983975214999310e-02,9.791197864880422930e-02,2.761600000000000000e+04,3.641025641025640858e-01,1.600000000000000000e+01,5.800000000000000000e+01,3.625000000000000000e+00
6.839378238341968785e-01,4.886561954624781684e-02,1.013888888888888895e-01,3.543600000000000000e+04,3.160621761658031215e-01,1.500000000000000000e+01,5.400000000000000000e+01,3.600000000000000089e+00
6.666666666666666297e-01,4.018066242890598605e-02,8.548387096774193172e-02,5.430800000000000000e+04,3.333333333333333148e-01,1.900000000000000000e+01,6.400000000000000000e+01,3.368421052631578760e+00
6.779661016949152241e-01,3.884342607746862908e-02,8.832469157875916244e-02,5.851400000000000000e+04,3.220338983050847204e-01,2.100000000000000000e+01,6.400000000000000000e+01,3.047619047619047450e+00
6.923076923076922906e-01,3.376952300548755059e-02,8.714055670577409984e-02,3.267800000000000000e+04,3.076923076923077094e-01,1.400000000000000000e+01,6.200000000000000000e+01,4.428571428571428825e+00
7.048458149779736059e-01,3.040314650934120011e-02,8.258298875449240906e-02,3.468700000000000000e+04,2.951541850220264496e-01,1.400000000000000000e+01,6.600000000000000000e+01,4.714285714285714413e+00
6.750000000000000444e-01,6.559987262160656141e-02,1.257861635220125784e-01,3.719500000000000000e+04,3.250000000000000111e-01,1.600000000000000000e+01,4.400000000000000000e+01,2.750000000000000000e+00
6.790697674418604279e-01,4.278004475450836175e-02,1.023299883715922259e-01,5.816400000000000000e+04,3.209302325581395166e-01,1.900000000000000000e+01,5.800000000000000000e+01,3.052631578947368585e+00
6.473988439306358478e-01,4.018767849857201452e-02,1.017275747508305656e-01,1.999000000000000000e+04,3.526011560693641522e-01,1.300000000000000000e+01,5.800000000000000000e+01,4.461538461538461675e+00
6.990291262135922556e-01,3.515064562410329801e-02,8.897748592870544093e-02,3.412000000000000000e+04,3.009708737864077444e-01,1.400000000000000000e+01,7.600000000000000000e+01,5.428571428571428825e+00
6.590909090909090606e-01,3.835796387520525735e-02,1.014446227929373945e-01,2.153500000000000000e+04,3.409090909090908839e-01,1.400000000000000000e+01,5.800000000000000000e+01,4.142857142857143238e+00
6.502463054187191949e-01,3.339736958770504055e-02,8.973677855590436736e-02,2.715200000000000000e+04,3.497536945812808051e-01,1.500000000000000000e+01,6.800000000000000000e+01,4.533333333333333215e+00
6.567164179104477695e-01,4.592964824120603085e-02,1.004926108374384203e-01,3.433000000000000000e+04,3.432835820895522305e-01,1.600000000000000000e+01,5.200000000000000000e+01,3.250000000000000000e+00
6.810344827586206629e-01,3.963862224731790063e-02,9.571909571909571757e-02,6.937100000000000000e+04,3.189655172413793371e-01,1.700000000000000000e+01,5.800000000000000000e+01,3.411764705882352811e+00
6.890756302521008347e-01,3.929771865837088096e-02,8.561884669479606635e-02,5.955600000000000000e+04,3.109243697478991653e-01,1.600000000000000000e+01,6.000000000000000000e+01,3.750000000000000000e+00
6.987951807228915957e-01,4.663710273466371153e-02,1.097402597402597352e-01,2.067000000000000000e+04,3.012048192771084598e-01,1.700000000000000000e+01,5.200000000000000000e+01,3.058823529411764497e+00
6.551724137931034253e-01,3.557312252964427157e-02,8.476708476708476325e-02,5.222700000000000000e+04,3.448275862068965747e-01,1.500000000000000000e+01,7.200000000000000000e+01,4.799999999999999822e+00
6.775956284153005216e-01,3.454556493230526160e-02,1.098901098901098883e-01,3.953900000000000000e+04,3.224043715846994784e-01,1.500000000000000000e+01,6.000000000000000000e+01,4.000000000000000000e+00
6.701570680628272658e-01,3.982177666388192483e-02,9.931824379601854325e-02,2.548000000000000000e+04,3.298429319371727897e-01,1.600000000000000000e+01,5.400000000000000000e+01,3.375000000000000000e+00
6.835443037974683334e-01,5.912134574554956529e-02,1.230891719745222934e-01,2.919100000000000000e+04,3.164556962025316666e-01,1.700000000000000000e+01,4.000000000000000000e+01,2.352941176470588314e+00
7.051282051282051766e-01,3.678257226644323502e-02,1.075541037158023738e-01,1.546800000000000000e+04,2.948717948717948789e-01,1.200000000000000000e+01,6.200000000000000000e+01,5.166666666666666963e+00
6.225165562913906880e-01,5.530201342281879096e-02,1.218300653594771299e-01,2.179700000000000000e+04,3.774834437086092565e-01,1.500000000000000000e+01,3.800000000000000000e+01,2.533333333333333215e+00
6.428571428571429047e-01,4.768702088289716867e-02,1.015281015281015303e-01,3.751400000000000000e+04,3.571428571428571508e-01,1.500000000000000000e+01,5.000000000000000000e+01,3.333333333333333481e+00
6.878980891719744806e-01,5.078577336641852680e-02,1.156265118529269526e-01,2.247200000000000000e+04,3.121019108280254639e-01,1.500000000000000000e+01,4.600000000000000000e+01,3.066666666666666874e+00
6.425339366515837591e-01,2.536322125363221422e-02,7.937219730941703910e-02,2.730000000000000000e+04,3.574660633484162964e-01,1.300000000000000000e+01,8.400000000000000000e+01,6.461538461538461675e+00
