Cherries,colless,sackin,total_cophenetic,ladder,width,depth,wid_dep_ratio
6.899999999999999467e-01,6.172275519009187694e-02,1.187123737499378023e-01,7.403500000000000000e+04,1.499999999999999944e-02,1.900000000000000000e+01,4.700000000000000000e+01,2.473684210526315930e+00
6.500000000000000222e-01,4.319577686411857353e-02,1.011493109109905947e-01,4.045400000000000000e+04,1.499999999999999944e-02,1.600000000000000000e+01,6.200000000000000000e+01,3.875000000000000000e+00
6.400000000000000133e-01,4.842393787117404980e-02,1.049305935618687485e-01,5.156500000000000000e+04,2.000000000000000042e-02,1.600000000000000000e+01,6.100000000000000000e+01,3.812500000000000000e+00
6.199999999999999956e-01,4.355108877721942939e-02,9.826359520374147727e-02,3.254600000000000000e+04,0.000000000000000000e+00,1.700000000000000000e+01,6.400000000000000000e+01,3.764705882352941124e+00
6.700000000000000400e-01,5.009897974722095360e-02,1.075177869545748538e-01,5.663100000000000000e+04,4.499999999999999833e-02,1.700000000000000000e+01,6.100000000000000000e+01,3.588235294117647189e+00
6.899999999999999467e-01,5.913405410892848268e-02,1.250310960744315525e-01,8.875400000000000000e+04,1.499999999999999944e-02,1.900000000000000000e+01,4.400000000000000000e+01,2.315789473684210620e+00
6.800000000000000488e-01,2.872950611644078944e-02,1.072192646400318417e-01,3.960200000000000000e+04,1.000000000000000021e-02,1.700000000000000000e+01,5.300000000000000000e+01,3.117647058823529438e+00
6.500000000000000222e-01,3.578498553372925356e-02,9.567640181103537200e-02,3.321600000000000000e+04,2.500000000000000139e-02,1.300000000000000000e+01,8.300000000000000000e+01,6.384615384615385025e+00
6.800000000000000488e-01,5.020049743667834297e-02,1.067714811682173304e-01,4.115500000000000000e+04,2.000000000000000042e-02,1.700000000000000000e+01,5.500000000000000000e+01,3.235294117647058876e+00
6.400000000000000133e-01,3.715547434140398925e-02,9.418379023832031127e-02,3.235000000000000000e+04,1.000000000000000021e-02,1.600000000000000000e+01,6.700000000000000000e+01,4.187500000000000000e+00
6.800000000000000488e-01,6.969189381249682458e-02,1.356286382407085045e-01,9.390200000000000000e+04,2.000000000000000042e-02,2.300000000000000000e+01,4.000000000000000000e+01,1.739130434782608647e+00
6.700000000000000400e-01,4.669813715039845825e-02,1.026419224837056554e-01,4.503800000000000000e+04,2.000000000000000042e-02,1.600000000000000000e+01,6.300000000000000000e+01,3.937500000000000000e+00
6.899999999999999467e-01,4.131769960915689793e-02,1.006517737200855744e-01,4.118800000000000000e+04,2.500000000000000139e-02,1.500000000000000000e+01,4.900000000000000000e+01,3.266666666666666607e+00
6.999999999999999556e-01,3.598802091264402536e-02,9.552714065376387287e-02,3.012000000000000000e+04,2.500000000000000139e-02,1.500000000000000000e+01,6.200000000000000000e+01,4.133333333333333748e+00
6.300000000000000044e-01,5.009897974722095360e-02,1.047813324045972494e-01,4.300800000000000000e+04,1.000000000000000021e-02,1.900000000000000000e+01,4.800000000000000000e+01,2.526315789473684070e+00
6.700000000000000400e-01,4.786559057915841520e-02,1.059754216627692980e-01,4.841000000000000000e+04,3.500000000000000333e-02,1.700000000000000000e+01,6.200000000000000000e+01,3.647058823529411686e+00
6.700000000000000400e-01,4.284046495101771768e-02,9.970645305736604291e-02,3.463400000000000000e+04,3.500000000000000333e-02,1.700000000000000000e+01,6.100000000000000000e+01,3.588235294117647189e+00
7.099999999999999645e-01,4.451550682706461454e-02,1.042340414946017202e-01,3.999500000000000000e+04,5.000000000000000278e-02,1.800000000000000000e+01,6.300000000000000000e+01,3.500000000000000000e+00
6.500000000000000222e-01,4.207908228008730434e-02,1.005025125628140753e-01,3.376900000000000000e+04,1.499999999999999944e-02,1.800000000000000000e+01,6.200000000000000000e+01,3.444444444444444642e+00
6.899999999999999467e-01,4.598751332419673959e-02,1.113985770436340117e-01,5.336900000000000000e+04,4.000000000000000083e-02,2.200000000000000000e+01,5.200000000000000000e+01,2.363636363636363757e+00
6.800000000000000488e-01,4.436323029287853742e-02,9.995522165281854610e-02,3.472300000000000000e+04,1.499999999999999944e-02,2.100000000000000000e+01,6.400000000000000000e+01,3.047619047619047450e+00
5.899999999999999689e-01,7.177300644637328586e-02,1.244838051644360372e-01,8.767800000000000000e+04,1.499999999999999944e-02,1.800000000000000000e+01,4.700000000000000000e+01,2.611111111111111160e+00
6.700000000000000400e-01,5.268768082838434785e-02,1.092591671227424316e-01,5.226500000000000000e+04,3.500000000000000333e-02,1.800000000000000000e+01,4.300000000000000000e+01,2.388888888888888840e+00
6.400000000000000133e-01,4.979442667884879242e-02,1.021443852928006352e-01,4.175000000000000000e+04,3.500000000000000333e-02,1.800000000000000000e+01,5.700000000000000000e+01,3.166666666666666519e+00
6.400000000000000133e-01,9.593421653723160913e-02,1.605054977859594889e-01,1.422890000000000000e+05,1.499999999999999944e-02,2.500000000000000000e+01,4.600000000000000000e+01,1.840000000000000080e+00
6.800000000000000488e-01,6.309324399776661263e-02,1.156276431663266768e-01,7.005800000000000000e+04,2.999999999999999889e-02,1.800000000000000000e+01,5.200000000000000000e+01,2.888888888888888840e+00
6.500000000000000222e-01,4.015024618039693405e-02,9.791531917010797004e-02,3.314300000000000000e+04,1.499999999999999944e-02,1.500000000000000000e+01,6.100000000000000000e+01,4.066666666666666430e+00
6.700000000000000400e-01,4.243439419318816019e-02,9.896014727100850561e-02,3.725000000000000000e+04,2.000000000000000042e-02,1.400000000000000000e+01,7.100000000000000000e+01,5.071428571428571175e+00
6.700000000000000400e-01,3.796761585706309033e-02,9.766655057465545298e-02,3.514000000000000000e+04,1.499999999999999944e-02,1.500000000000000000e+01,7.200000000000000000e+01,4.799999999999999822e+00
6.199999999999999956e-01,8.050352773970864684e-02,1.475695308224289903e-01,1.344760000000000000e+05,1.499999999999999944e-02,2.400000000000000000e+01,4.800000000000000000e+01,2.000000000000000000e+00
6.500000000000000222e-01,4.106390538551342451e-02,9.786556545101746107e-02,3.396400000000000000e+04,5.000000000000000104e-03,1.500000000000000000e+01,5.700000000000000000e+01,3.799999999999999822e+00
6.500000000000000222e-01,3.933810466473783296e-02,9.706950594556942868e-02,3.469800000000000000e+04,2.500000000000000139e-02,1.600000000000000000e+01,6.500000000000000000e+01,4.062500000000000000e+00
6.099999999999999867e-01,4.263742957210293893e-02,1.003034976864520672e-01,4.360800000000000000e+04,5.000000000000000104e-03,1.500000000000000000e+01,6.000000000000000000e+01,4.000000000000000000e+00
6.400000000000000133e-01,3.436373788132582319e-02,9.438280511468231937e-02,3.503100000000000000e+04,2.999999999999999889e-02,1.500000000000000000e+01,7.900000000000000000e+01,5.266666666666666607e+00
6.600000000000000311e-01,4.365260646667681876e-02,1.010995571919000996e-01,3.272900000000000000e+04,2.500000000000000139e-02,1.700000000000000000e+01,5.800000000000000000e+01,3.411764705882352811e+00
6.899999999999999467e-01,4.324653570884726822e-02,1.031892133937011846e-01,3.909500000000000000e+04,1.000000000000000021e-02,1.700000000000000000e+01,6.800000000000000000e+01,4.000000000000000000e+00
6.899999999999999467e-01,5.466727577280341283e-02,1.103039952236429672e-01,5.175300000000000000e+04,1.499999999999999944e-02,1.800000000000000000e+01,5.100000000000000000e+01,2.833333333333333481e+00
6.199999999999999956e-01,5.786508299071112943e-02,1.152793671326931696e-01,5.352000000000000000e+04,1.499999999999999944e-02,1.900000000000000000e+01,6.100000000000000000e+01,3.210526315789473895e+00
6.600000000000000311e-01,3.761230394396223448e-02,9.627344644012139629e-02,3.108900000000000000e+04,2.500000000000000139e-02,1.400000000000000000e+01,6.800000000000000000e+01,4.857142857142856762e+00
6.300000000000000044e-01,5.035277397086442008e-02,1.060749291009503020e-01,4.441800000000000000e+04,5.000000000000000104e-03,1.800000000000000000e+01,5.500000000000000000e+01,3.055555555555555358e+00
6.600000000000000311e-01,4.735800213187147528e-02,1.061246828200407971e-01,4.507900000000000000e+04,1.499999999999999944e-02,1.700000000000000000e+01,6.300000000000000000e+01,3.705882352941176627e+00
6.899999999999999467e-01,3.766306278869092916e-02,9.517886462013035176e-02,3.384300000000000000e+04,3.500000000000000333e-02,1.500000000000000000e+01,6.800000000000000000e+01,4.533333333333333215e+00
6.899999999999999467e-01,4.542916603218110499e-02,1.007512811582665785e-01,4.528300000000000000e+04,1.000000000000000021e-02,1.600000000000000000e+01,5.400000000000000000e+01,3.375000000000000000e+00
6.600000000000000311e-01,4.202832343535860965e-02,9.910940842828001862e-02,3.531800000000000000e+04,2.500000000000000139e-02,1.600000000000000000e+01,6.200000000000000000e+01,3.875000000000000000e+00
6.700000000000000400e-01,5.634231764885030969e-02,1.128911886163490724e-01,6.036500000000000000e+04,1.499999999999999944e-02,1.900000000000000000e+01,4.800000000000000000e+01,2.526315789473684070e+00
6.400000000000000133e-01,4.806862595807319394e-02,1.033882282700631927e-01,4.390200000000000000e+04,1.499999999999999944e-02,1.800000000000000000e+01,5.800000000000000000e+01,3.222222222222222321e+00
6.800000000000000488e-01,5.827115374854067997e-02,1.129409423354395675e-01,6.690700000000000000e+04,1.499999999999999944e-02,1.700000000000000000e+01,4.300000000000000000e+01,2.529411764705882248e+00
7.199999999999999734e-01,4.101314654078472982e-02,9.910940842828001862e-02,3.679700000000000000e+04,1.499999999999999944e-02,1.500000000000000000e+01,6.200000000000000000e+01,4.133333333333333748e+00
7.099999999999999645e-01,4.278970610628902299e-02,9.935817702373252180e-02,3.497100000000000000e+04,1.499999999999999944e-02,1.700000000000000000e+01,5.900000000000000000e+01,3.470588235294117752e+00
6.800000000000000488e-01,4.157149383280036442e-02,9.975620677645653800e-02,3.709100000000000000e+04,4.000000000000000083e-02,1.600000000000000000e+01,7.100000000000000000e+01,4.437500000000000000e+00
6.600000000000000311e-01,4.720572559768539816e-02,1.037862580227872089e-01,4.794500000000000000e+04,2.999999999999999889e-02,1.500000000000000000e+01,5.900000000000000000e+01,3.933333333333333126e+00
