# Cherries,colless,sackin,total_cophenetic,ladder,width,depth,wid_dep_ratio
6.999999999999999556e-01,2.872950611644078944e-02,8.786506791382656112e-02,2.363200000000000000e+04,2.999999999999999889e-01,1.300000000000000000e+01,8.000000000000000000e+01,6.153846153846154188e+00
6.500000000000000222e-01,6.035226638241713432e-02,1.103039952236429672e-01,4.109700000000000000e+04,3.499999999999999778e-01,2.000000000000000000e+01,4.800000000000000000e+01,2.399999999999999911e+00
6.700000000000000400e-01,3.593726206791533762e-02,9.154684312652371092e-02,2.709700000000000000e+04,3.300000000000000155e-01,1.600000000000000000e+01,6.200000000000000000e+01,3.875000000000000000e+00
6.999999999999999556e-01,4.035328155931171279e-02,9.438280511468231937e-02,3.769100000000000000e+04,2.999999999999999889e-01,1.400000000000000000e+01,7.000000000000000000e+01,5.000000000000000000e+00
6.099999999999999867e-01,3.238414293690675821e-02,8.856161998109358946e-02,2.628100000000000000e+04,3.900000000000000133e-01,1.600000000000000000e+01,6.600000000000000000e+01,4.125000000000000000e+00
6.500000000000000222e-01,4.121618191969950856e-02,9.502960346285885262e-02,3.145800000000000000e+04,3.499999999999999778e-01,1.800000000000000000e+01,5.600000000000000000e+01,3.111111111111111160e+00
6.199999999999999956e-01,3.685092127303182807e-02,9.423354395741082024e-02,3.466100000000000000e+04,3.800000000000000044e-01,1.600000000000000000e+01,7.200000000000000000e+01,4.500000000000000000e+00
6.400000000000000133e-01,5.025125628140703765e-02,1.059754216627692980e-01,4.676000000000000000e+04,3.599999999999999867e-01,1.700000000000000000e+01,4.600000000000000000e+01,2.705882352941176627e+00
6.700000000000000400e-01,3.522663824171361896e-02,9.343748445196278785e-02,2.927300000000000000e+04,3.300000000000000155e-01,1.300000000000000000e+01,7.200000000000000000e+01,5.538461538461538325e+00
5.899999999999999689e-01,3.471904979442667905e-02,9.065127618289467448e-02,3.015900000000000000e+04,4.099999999999999756e-01,1.400000000000000000e+01,7.200000000000000000e+01,5.142857142857143238e+00
6.400000000000000133e-01,5.020049743667834297e-02,1.032389671127916797e-01,5.040600000000000000e+04,3.599999999999999867e-01,1.800000000000000000e+01,5.000000000000000000e+01,2.777777777777777679e+00
6.600000000000000311e-01,5.263692198365565317e-02,1.028409373600676635e-01,4.554000000000000000e+04,3.400000000000000244e-01,2.000000000000000000e+01,4.600000000000000000e+01,2.299999999999999822e+00
6.999999999999999556e-01,4.289122379574640542e-02,9.677098363102641654e-02,3.986500000000000000e+04,2.999999999999999889e-01,1.500000000000000000e+01,5.800000000000000000e+01,3.866666666666666696e+00
6.899999999999999467e-01,3.827216892543525845e-02,9.483058858649684453e-02,3.380700000000000000e+04,3.099999999999999978e-01,1.400000000000000000e+01,7.800000000000000000e+01,5.571428571428571175e+00
6.300000000000000044e-01,4.228211765900208308e-02,9.637295387830240034e-02,4.397800000000000000e+04,3.699999999999999956e-01,1.500000000000000000e+01,5.600000000000000000e+01,3.733333333333333393e+00
6.700000000000000400e-01,2.812039997969646363e-02,8.637245634111150039e-02,2.395600000000000000e+04,3.300000000000000155e-01,1.300000000000000000e+01,7.600000000000000000e+01,5.846153846153845812e+00
7.099999999999999645e-01,3.507436170752753490e-02,9.090004477834717767e-02,2.661100000000000000e+04,2.899999999999999800e-01,1.600000000000000000e+01,6.800000000000000000e+01,4.250000000000000000e+00
6.700000000000000400e-01,4.593675447946804491e-02,9.806458032737946917e-02,3.260900000000000000e+04,3.300000000000000155e-01,1.800000000000000000e+01,5.000000000000000000e+01,2.777777777777777679e+00
6.700000000000000400e-01,2.817115882442515484e-02,8.811383650927906430e-02,2.274700000000000000e+04,3.300000000000000155e-01,1.500000000000000000e+01,7.200000000000000000e+01,4.799999999999999822e+00
6.800000000000000488e-01,3.822141008070656376e-02,9.269117866560525054e-02,3.079600000000000000e+04,3.200000000000000067e-01,1.500000000000000000e+01,6.200000000000000000e+01,4.133333333333333748e+00
7.099999999999999645e-01,5.872798335109893214e-02,1.100054729090999550e-01,6.320500000000000000e+04,2.899999999999999800e-01,1.800000000000000000e+01,5.600000000000000000e+01,3.111111111111111160e+00
6.600000000000000311e-01,3.375463174458149390e-02,8.980546295835613313e-02,2.624300000000000000e+04,3.400000000000000244e-01,1.500000000000000000e+01,6.800000000000000000e+01,4.533333333333333215e+00
6.800000000000000488e-01,4.568296025582457842e-02,9.980596049554704696e-02,4.756900000000000000e+04,3.200000000000000067e-01,1.600000000000000000e+01,5.200000000000000000e+01,3.250000000000000000e+00
6.800000000000000488e-01,3.994721080148215531e-02,9.428329767650131532e-02,3.100000000000000000e+04,3.200000000000000067e-01,1.600000000000000000e+01,6.000000000000000000e+01,3.750000000000000000e+00
6.600000000000000311e-01,3.294249022892239281e-02,8.920841832927010884e-02,2.593800000000000000e+04,3.400000000000000244e-01,1.600000000000000000e+01,6.600000000000000000e+01,4.125000000000000000e+00
6.700000000000000400e-01,4.299274148520379479e-02,1.061246828200407971e-01,5.834900000000000000e+04,3.300000000000000155e-01,1.600000000000000000e+01,5.200000000000000000e+01,3.250000000000000000e+00
6.400000000000000133e-01,5.278919851784173722e-02,1.034877357082441968e-01,4.552200000000000000e+04,3.599999999999999867e-01,1.700000000000000000e+01,5.000000000000000000e+01,2.941176470588235503e+00
6.500000000000000222e-01,4.334805339830465759e-02,9.552714065376387287e-02,3.352600000000000000e+04,3.499999999999999778e-01,1.600000000000000000e+01,5.200000000000000000e+01,3.250000000000000000e+00
6.700000000000000400e-01,3.542967362062839770e-02,9.055176874471367043e-02,3.228200000000000000e+04,3.300000000000000155e-01,1.400000000000000000e+01,7.000000000000000000e+01,5.000000000000000000e+00
6.899999999999999467e-01,5.492106999644687931e-02,1.104532563809144802e-01,5.280300000000000000e+04,3.099999999999999978e-01,1.800000000000000000e+01,5.200000000000000000e+01,2.888888888888888840e+00
6.800000000000000488e-01,3.527739708644231365e-02,9.020349271108014932e-02,3.037600000000000000e+04,3.200000000000000067e-01,1.500000000000000000e+01,6.200000000000000000e+01,4.133333333333333748e+00
6.999999999999999556e-01,4.218059996954469371e-02,9.716901338375043273e-02,3.302900000000000000e+04,2.999999999999999889e-01,1.500000000000000000e+01,6.600000000000000000e+01,4.400000000000000355e+00
6.400000000000000133e-01,5.025125628140703765e-02,1.017961092591671279e-01,4.109000000000000000e+04,3.599999999999999867e-01,1.800000000000000000e+01,4.800000000000000000e+01,2.666666666666666519e+00
6.700000000000000400e-01,4.248515303791685488e-02,9.468132742922533152e-02,3.134100000000000000e+04,3.300000000000000155e-01,1.900000000000000000e+01,6.200000000000000000e+01,3.263157894736842035e+00
6.800000000000000488e-01,3.055682452667377383e-02,8.766605303746455302e-02,2.379700000000000000e+04,3.200000000000000067e-01,1.300000000000000000e+01,6.800000000000000000e+01,5.230769230769230838e+00
6.899999999999999467e-01,3.837368661489264782e-02,9.512911090103985667e-02,3.336800000000000000e+04,3.099999999999999978e-01,1.400000000000000000e+01,6.000000000000000000e+01,4.285714285714285587e+00
6.500000000000000222e-01,3.857672199380741962e-02,9.433305139559182428e-02,3.826600000000000000e+04,3.499999999999999778e-01,1.500000000000000000e+01,6.000000000000000000e+01,4.000000000000000000e+00
